scope,range,tag_kind,shared,code_a,code_b,year,rows_a,rows_b,approved_a,approved_b,approved_gap,executed_a,executed_b,executed_gap
primary,2006-2015,EXP_FUNC,func_sub=siblings under func=`Education`,EXP_FUNC_PRI_EDU_EXE,EXP_FUNC_PRI_SEC_EDU_EXE,2006.0,45.0,45.0,448539816.0,448539816.0,0.0,534851689.52000004,534851689.52000004,0.0
primary,2006-2015,EXP_FUNC,func_sub=siblings under func=`Education`,EXP_FUNC_PRI_EDU_EXE,EXP_FUNC_PRI_SEC_EDU_EXE,2007.0,47.0,47.0,659512113.0,659512113.0,0.0,721481010.3999999,721481010.3999999,0.0
primary,2006-2015,EXP_FUNC,func_sub=siblings under func=`Education`,EXP_FUNC_PRI_EDU_EXE,EXP_FUNC_PRI_SEC_EDU_EXE,2008.0,50.0,50.0,876260022.0,876260022.0,0.0,951927622.5400008,951927622.5400008,0.0
primary,2006-2015,EXP_FUNC,func_sub=siblings under func=`Education`,EXP_FUNC_PRI_EDU_EXE,EXP_FUNC_PRI_SEC_EDU_EXE,2009.0,57.0,57.0,1026191795.0,1026191795.0,0.0,1113175371.3593726,1113175371.3593726,0.0
primary,2006-2015,EXP_FUNC,func_sub=siblings under func=`Education`,EXP_FUNC_PRI_EDU_EXE,EXP_FUNC_PRI_SEC_EDU_EXE,2010.0,51.0,51.0,1267682300.0,1267682300.0,0.0,1300563595.1131542,1300563595.1131542,0.0
primary,2006-2015,EXP_FUNC,func_sub=siblings under func=`Education`,EXP_FUNC_PRI_EDU_EXE,EXP_FUNC_PRI_SEC_EDU_EXE,2011.0,63.0,63.0,1384477894.0,1384477894.0,0.0,1414470966.810162,1414470966.810162,0.0
primary,2006-2015,EXP_FUNC,func_sub=siblings under func=`Education`,EXP_FUNC_PRI_EDU_EXE,EXP_FUNC_PRI_SEC_EDU_EXE,2012.0,66.0,66.0,1604310328.2402344,1604310328.2402344,0.0,1647857045.6793842,1647857045.6793842,0.0
primary,2006-2015,EXP_FUNC,func_sub=siblings under func=`Education`,EXP_FUNC_PRI_EDU_EXE,EXP_FUNC_PRI_SEC_EDU_EXE,2013.0,65.0,65.0,1708594034.0,1708594034.0,0.0,1680545670.3709536,1680545670.3709536,0.0
primary,2006-2015,EXP_FUNC,func_sub=siblings under func=`Education`,EXP_FUNC_PRI_EDU_EXE,EXP_FUNC_PRI_SEC_EDU_EXE,2014.0,62.0,62.0,1896570890.0,1896570890.0,0.0,2004227578.792871,2004227578.792871,0.0
primary,2006-2015,EXP_FUNC,func_sub=siblings under func=`Education`,EXP_FUNC_PRI_EDU_EXE,EXP_FUNC_PRI_SEC_EDU_EXE,2015.0,67.0,67.0,2253562660.0,2253562660.0,0.0,2374810166.0247984,2374810166.0247984,0.0
primary,2016-2019,REV_ECON,econ=Customs and excise,REV_ECON_CUS_EXC_EXE,REV_ECON_EXC_EXE,2016.0,21.0,21.0,4303245332.0,4303245332.0,0.0,4546393965.65,4546393965.65,0.0
primary,2016-2019,REV_ECON,econ=Customs and excise,REV_ECON_CUS_EXC_EXE,REV_ECON_EXC_EXE,2017.0,21.0,21.0,5074736388.0,5074736388.0,0.0,5949996961.34,5949996961.34,0.0
primary,2016-2019,REV_ECON,econ=Customs and excise,REV_ECON_CUS_EXC_EXE,REV_ECON_EXC_EXE,2018.0,44.0,44.0,5903326000.0,5903326000.0,0.0,5683413797.379999,5683413797.379999,0.0
primary,2016-2019,REV_ECON,econ=Customs and excise,REV_ECON_CUS_EXC_EXE,REV_ECON_EXC_EXE,2019.0,38.0,38.0,6731804600.0,6731804600.0,0.0,6221951953.71,6221951953.71,0.0
primary,2020-2024,REV_ECON,econ=Customs and excise,REV_ECON_CUS_EXC_EXE,REV_ECON_EXC_EXE,2020.0,18.0,18.0,6990399000.0,6990399000.0,0.0,6468735882.51,6468735882.51,0.0
primary,2020-2024,REV_ECON,econ=Customs and excise,REV_ECON_CUS_EXC_EXE,REV_ECON_EXC_EXE,2021.0,19.0,19.0,7042776000.0,7042776000.0,0.0,7608283953.42,7608283953.42,0.0
primary,2020-2024,REV_ECON,econ=Customs and excise,REV_ECON_CUS_EXC_EXE,REV_ECON_EXC_EXE,2022.0,18.0,18.0,8041750000.0,8041750000.0,0.0,8012552858.34,8012552858.34,0.0
primary,2020-2024,REV_ECON,econ=Customs and excise,REV_ECON_CUS_EXC_EXE,REV_ECON_EXC_EXE,2023.0,19.0,19.0,9273665000.0,9273665000.0,0.0,10138102757.64,10138102757.64,0.0
primary,2020-2024,REV_ECON,econ=Customs and excise,REV_ECON_CUS_EXC_EXE,REV_ECON_EXC_EXE,2024.0,19.0,19.0,10456623800.0,10456623800.0,0.0,11447666298.35,11447666298.35,0.0
subnational,2006-2015,EXP_ECON,econ=Capital expenditures,EXP_ECON_CAP_EXP_EXE,EXP_ECON_SBN_CAP_SPE_EXE,2006.0,460.0,188.0,2179057510.0,280507810.0,1898549700.0,4024122916.7400002,1361998278.91,2662124637.83
